Author|||Retrospective|||for cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:MID keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:3 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:MID isPage:NO isAffi:NO isPubNum:MID isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:MID isPhone:NO isEmail:NO isMayName:NO  0 FIR FIR <abstract>
Increasing|||the|||Instruction|||Fetch|||Rate|||via|||Multiple|||Branch cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:MID phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:8 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:MID isPubNum:MID isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  1 NO NO <abstract>
Prediction|||and|||a|||Branch|||Address|||Cache cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:MID digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:6 isAbstract:NO isKeyWord:NO isAddr:MID isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  2 NO NO <abstract>
Deborah|||T.|||Marr cap1NumPer:YES allDigit:NO containAt:NO authorPer:MID capAllNumPer:MID containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:MID affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:3 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:MID isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:MID  3 YES YES <abstract>
Intel|||Corporation cap1NumPer:YES allDigit:NO containAt:NO authorPer:NO capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:HIGH keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:HIGH phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:2 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:HIGH isPubNum:NO isPostCode:NO isPrep:YES isState:NO isURL:NO isCountry:NO isIntro:NO isNote:HIGH isPhone:NO isEmail:NO isMayName:NO  4 NO YES <abstract>
Hillsboro,|||OR cap1NumPer:YES allDigit:NO containAt:NO authorPer:NO capAllNumPer:HIGH containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:HIGH digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:1 wordNum:2 isAbstract:NO isKeyWord:NO isAddr:NO isCity:HIGH isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:HIGH isPrep:NO isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  5 NO NO <abstract>
debbie.marr@intel.com cap1NumPer:NO allDigit:NO containAt:YES authorPer:NO capAllNumPer:NO containDigit:NO emailPer:YES singleCharPer:NO digitMore3:NO puncPer:YES digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:YES affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:1 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:YES isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:YES isMayName:NO  6 NO YES <email>
Yale|||N.|||Patt cap1NumPer:YES allDigit:NO containAt:NO authorPer:MID capAllNumPer:MID containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:MID digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:MID affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:3 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:MID isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:MID isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:MID  3 YES YES <abstract>
The|||University|||of|||Texas|||at|||Austin cap1NumPer:HIGH allDigit:NO containAt:NO authorPer:MID capAllNumPer:NO containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:NO digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:NO noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:MID phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:6 isAbstract:NO isKeyWord:NO isAddr:NO isCity:MID isMonth:NO isSingleCap:NO isDegree:MID isPage:NO isAffi:MID isPubNum:MID isPostCode:NO isPrep:HIGH isState:MID isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:MID  4 NO YES <affiliation>
Austin,|||TX cap1NumPer:YES allDigit:NO containAt:NO authorPer:NO capAllNumPer:HIGH containDigit:NO emailPer:NO singleCharPer:NO digitMore3:NO puncPer:HIGH digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:NO singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:NO affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:1 wordNum:2 isAbstract:NO isKeyWord:NO isAddr:NO isCity:HIGH isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:HIGH isPrep:HIGH isState:NO isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:NO isMayName:NO  5 NO NO <abstract>
patt@ece.utexas.edu cap1NumPer:NO allDigit:NO containAt:YES authorPer:NO capAllNumPer:NO containDigit:NO emailPer:YES singleCharPer:NO digitMore3:NO puncPer:YES digitMore7:NO singleDigitNumPer:NO dateNumPer:NO containDot:YES singleAlphaNumPer:HIGH shortPhrasePer:YES noteNumPer:NO keywordPer:NO containLR:NO containDash:NO lonelyInitialPer:YES affiNumPer:NO phoneNumPer:NO urlPer:NO cap1Per:NO containKey_Word:false commaNum:0 wordNum:1 isAbstract:NO isKeyWord:NO isAddr:NO isCity:NO isMonth:NO isSingleCap:NO isDegree:NO isPage:NO isAffi:NO isPubNum:NO isPostCode:NO isPrep:YES isState:YES isURL:NO isCountry:NO isIntro:NO isNote:NO isPhone:NO isEmail:YES isMayName:NO  6 NO YES <email>
